time_milli,total,unsolicited,schedule1,candidates,schedule2
4015165,8,0,4,4,4
4015885,8,6,4,2,2
4020578,8,0,4,4,4
4022649,8,7,4,1,1
4023970,8,0,4,4,4
4024538,8,7,4,1,1
4028270,8,0,4,4,4
4029334,8,5,4,3,2
4031362,8,0,4,4,4
4032898,8,5,4,3,2
4039120,8,0,4,4,4
4040094,8,4,4,4,4
4044203,8,0,4,4,4
4046103,8,7,4,1,1
4051546,8,0,4,4,4
4052069,8,5,4,3,2
4057646,8,0,4,4,4
4058130,8,5,4,3,2
4064265,8,0,4,4,4
4065302,8,3,4,4,4
4069541,8,0,4,4,4
4070216,8,6,4,2,2
4073511,8,0,4,4,4
4075083,8,7,4,1,1
4081587,8,0,4,4,4
4083721,8,7,4,1,1
4085319,8,0,4,4,4
4087508,8,3,4,4,4
4090415,8,0,4,4,4
4092698,8,5,4,3,2
4095679,8,0,4,4,4
4099283,8,6,4,2,2
4103898,8,0,4,4,4
4104272,8,6,4,2,2
4107772,8,0,4,4,4
4108764,8,5,4,3,2
4113371,8,0,4,4,4
4113810,8,3,4,4,4
4117951,8,0,4,4,4
4118417,8,5,4,3,2
4129398,8,0,4,4,4
4130181,8,6,4,2,2
4134529,8,0,4,4,4
4139416,8,1,4,4,4
4146207,8,0,4,4,4
4150839,8,3,4,4,4
4160883,8,0,4,4,4
4162304,8,3,4,4,4
4173797,8,0,4,4,4
4174263,8,5,4,3,2
4186882,8,0,4,4,4
4191167,8,1,4,4,4
4199217,8,0,4,4,4
4202191,8,2,4,4,4
4206601,8,0,4,4,4
4210188,8,0,4,4,4
4216918,8,0,4,4,4
4217459,8,0,4,4,4
4228487,8,0,4,4,4
4230667,8,0,4,4,4
4245443,8,0,4,4,4
4249075,8,0,4,4,4
4259080,8,0,4,4,4
4259519,8,0,4,4,4
4269382,8,0,4,4,4
4270512,8,1,4,4,4
4283398,8,0,4,4,4
4289004,8,3,4,4,4
4303769,8,0,4,4,4
4313246,8,1,4,4,4
4332357,8,0,4,4,4
4333403,8,1,4,4,4
4349155,8,0,4,4,4
4361277,8,0,4,4,4
4369457,8,0,4,4,4
4376232,8,1,4,4,4
4389003,8,0,4,4,4
